hor_codigo;hor_descricao;hor_concentracao;hor_forma_farmaceutica;hor_volume;hor_un_fornecimento
BR0269997-2;ERITROMICINA, ESTOLATO;25 MG/ML;SUSPENSÃO ORAL ;60 ML;FRASCO
BR0269996;ERITROMICINA, ESTOLATO;500 MG;COMPRIMIDO;;COMPRIMIDO
BR0343494;ESPIRAMICINA;(1,5 MUI) 500 MG;COMPRIMIDO;;COMPRIMIDO
BR0267653;ESPIRONOLACTONA ;25 MG;COMPRIMIDO;;COMPRIMIDO
BR0267654;ESPIRONOLACTONA ;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0267208;ESTRIOL;1 MG/G;CREME VAGINAL ;50 G;BISNAGA
BR0356602;ESTROGÊNIOS CONJUGADOS;0,3 MG;COMPRIMIDO;;COMPRIMIDO
BR0271435;ESTROGÊNIOS CONJUGADOS;0,625 MG/G;CREME VAGINAL ;25 G;BISNAGA
BR0269391;FENITOÍNA SÓDICA ;20 MG/ML;SUSPENSÃO ORAL ;120 ML;FRASCO
BR0267657;FENITOÍNA SÓDICA ;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0267107;FENITOÍNA SÓDICA ;50 MG/ML;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0300723;FENOBARBITAL ;40 MG/ML;SOLUÇÃO ORAL ;20 ML;FRASCO
BR0300725;FENOBARBITAL ;100 MG/ML;SOLUÇÃO INJETÁVEL ;2 ML;AMPOLA
BR0267660;FENOBARBITAL ;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0275963;FINASTERIDA;5 MG;COMPRIMIDO;;COMPRIMIDO
BR0267662;FLUCONAZOL;150 MG;CÁPSULA ;;CAPSULA
BR0267661;FLUCONAZOL;100 MG;CÁPSULA ;;CAPSULA
BR0268510;FLUMAZENIL;0,1 MG/ML;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0273009-1;FLUOXETINA, CLORIDRATO;20 MG;CÁPSULA ;;CAPSULA
BR0273009-2;FLUOXETINA, CLORIDRATO;20 MG;COMPRIMIDO;;COMPRIMIDO
BR0386482;FOSFATO DE CÁLCIO TRIBÁSICO + COLECALCIFEROL;600 MG + 400 UI;COMPRIMIDO;;COMPRIMIDO
BR0267663;FUROSEMIDA;40 MG;COMPRIMIDO;;COMPRIMIDO
BR0267666;FUROSEMIDA;10 MG/ML;SOLUÇÃO INJETÁVEL ;2 ML;AMPOLA
BR0325424-2;GEL LUBRIFICANTE, ÍNTIMO, INCOLOR, INODORO, SOLÚVEL EM ÁGUA, TRANSPARENTE E NÃO GORDUROSO, SACHÊ 10 G   ;null null;;;UM
BR0325424-1;GEL LUBRIFICANTE, ÍNTIMO, INCOLOR, INODORO, SOLÚVEL EM ÁGUA, TRANSPARENTE E NÃO GORDUROSO, SACHÊ 5 G   ;null null;;;UM
BR0291174 ;GENTAMICINA, SULFATO;5 MG/G;POMADA OFTÁLMICA ;3,5 G;BISNAGA
BR0372372;GENTAMICINA, SULFATO;5 MG/ML;SOLUÇÃO OFTÁLMICA;5 ML;FRASCO
BR0267671;GLIBENCLAMIDA;5 MG;COMPRIMIDO;;COMPRIMIDO
BR0268185;GLICEROL  ;null null;SUPOSITÓRIO INFANTIL;;SUPOSITORIO
BR0269622-3;GLICEROL  ;120 MG/ML;ENEMA ;1 L;FRASCO
BR0268186;GLICEROL  ;null null;SUPOSITÓRIO ADULTO;;UM
BR0269622-1;GLICEROL  ;120 MG/ML;ENEMA ;250 ML;FRASCO
BR0269622-2;GLICEROL  ;120 MG/ML;ENEMA ;500 ML;FRASCO
BR0273115;GLICLAZIDA;80 MG;COMPRIMIDO;;COMPRIMIDO
BR0273116;GLICLAZIDA;30 MG;COMPRIMIDO DE LIBERAÇÃO CONTROLADA ;;COMPRIMIDO
BR0417713;GLICLAZIDA;60 MG;COMPRIMIDO DE LIBERAÇÃO CONTROLADA ;null null;COMPRIMIDO
BR0267540;GLICOSE;25%;SOLUÇÃO INJETÁVEL ;10 ML;AMPOLA
BR0267541;GLICOSE;50%;SOLUÇÃO INJETÁVEL ;10 ML;AMPOLA
BR0267544-1;GLICOSE;10%;SOLUÇÃO INJETÁVEL ;100 ML SISTEMA FECHADO;UM
BR0267544-2;GLICOSE;10%;SOLUÇÃO INJETÁVEL ;250 ML SISTEMA FECHADO;UM
BR0267544-3;GLICOSE;10%;SOLUÇÃO INJETÁVEL ;500 ML SISTEMA FECHADO;UM
BR0267544-4;GLICOSE;10%;SOLUÇÃO INJETÁVEL ;1000 ML SISTEMA FECHADO;UM
BR0270092;GLICOSE;5%;SOLUÇÃO INJETÁVEL ;100 ML SISTEMA FECHADO;UM
BR0270092-1;GLICOSE;5%;SOLUÇÃO INJETÁVEL ;250 ML SISTEMA FECHADO;UM
BR0270092-2;GLICOSE;5%;SOLUÇÃO INJETÁVEL ;500 SISTEMA FECHADO;UM
BR0270092-3;GLICOSE;5%;SOLUÇÃO INJETÁVEL ;1000 ML SISTEMA FECHADO;UM
