hor_codigo;hor_descricao;hor_concentracao;hor_forma_farmaceutica;hor_volume;hor_un_fornecimento
BR0267378-1;NISTATINA;100.000 UI/ML;SUSPENSÃO ORAL ;30 ML;FRASCO
BR0267378-4;NISTATINA;100.000 UI/ML;SUSPENSÃO ORAL ;60 ML;FRASCO
BR0305714;NITROFURANTOÍNA;5 MG/ML;SUSPENSÃO ORAL ;120 ML;FRASCO
BR0268273-1;NITROFURANTOÍNA;100 MG;CÁPSULA ;;CAPSULA
BR0305718;NOREPINEFRINA;2 MG/ML;SOLUÇÃO INJETÁVEL ;4 ML;AMPOLA
BR0267733;NORETISTERONA;0,35 MG;COMPRIMIDO;;CARTELA
BR0271609-1;NORTRIPTILINA, CLORIDRATO;10 MG;CÁPSULA ;;CAPSULA
BR0271606;NORTRIPTILINA, CLORIDRATO;25 MG;CÁPSULA ;;CAPSULA
BR0271610;NORTRIPTILINA, CLORIDRATO;50 MG;CÁPSULA ;;CAPSULA
BR0271607;NORTRIPTILINA, CLORIDRATO;75 MG;CÁPSULA ;;CAPSULA
BR0233632-1;ÓLEO MINERAL (VASELINA LÍQUIDA / PETROLATO);null null;FRASCO;100 ML;FRASCO
BR0233632-4;ÓLEO MINERAL (VASELINA LÍQUIDA / PETROLATO);null null;FRASCO;500 ML;FRASCO
BR0233632-3;ÓLEO MINERAL (VASELINA LÍQUIDA / PETROLATO);null null;FRASCO;200 ML;FRASCO
BR0233632-2;ÓLEO MINERAL (VASELINA LÍQUIDA / PETROLATO);null null;FRASCO;120 ML;FRASCO
BR0267711;OMEPRAZOL;10 MG;CÁPSULA ;;CAPSULA
BR0267712;OMEPRAZOL;20 MG;CÁPSULA ;;CAPSULA
BR0268506;ONDANSETRONA, CLORIDRATO;4 MG;COMPRIMIDO;;COMPRIMIDO
BR0268505;ONDANSETRONA, CLORIDRATO;8 MG;COMPRIMIDO;;COMPRIMIDO
BR0290891;OXAMNIQUINA;50 MG/ML;SUSPENSÃO ORAL ;12 ML;FRASCO
BR0267778;PARACETAMOL ;500 MG;COMPRIMIDO;;COMPRIMIDO
BR0267777-1;PARACETAMOL ;200 MG/ML;SOLUÇÃO ORAL ;10 ML;FRASCO
BR0267777-2;PARACETAMOL ;200 MG/ML;SOLUÇÃO ORAL ;15 ML;FRASCO
BR0267777-3;PARACETAMOL ;200 MG/ML;SOLUÇÃO ORAL ;20 ML;FRASCO
BR0274648-1;PASTA D’ÁGUA;null null;PASTA ;30 G;POTE
BR0274648-2;PASTA D’ÁGUA;null null;PASTA ;40 G;POTE
BR0274648-4;PASTA D’ÁGUA;null null;PASTA ;90 G;POTE
BR0274648-5;PASTA D’ÁGUA;null null;PASTA ;80 G;POTE
BR0274648-3;PASTA D’ÁGUA;null null;PASTA ;100 G;POTE
BR0327699-1;PERMANGANATO DE POTÁSSIO;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0327699-2;PERMANGANATO DE POTÁSSIO;100 MG;PÓ;;SACHE
BR0363597-2;PERMETRINA;50 MG/ML;LOÇÃO ;100 ML;FRASCO
BR0267773-1;PERMETRINA;10 MG/ML;LOÇÃO ;60 ML;FRASCO
BR0267773-2;PERMETRINA;10 MG/ML;LOÇÃO ;100 ML;FRASCO
BR0363597-1;PERMETRINA;50 MG/ML;LOÇÃO ;60 ML;FRASCO
BR0366861 -2;PERÓXIDO DE BENZOÍLA;5%;GEL;20 G;BISNAGA
BR0366861;PERÓXIDO DE BENZOÍLA;5%;GEL;60 G;BISNAGA
BR0384537-2;PERÓXIDO DE BENZOÍLA;2,50%;GEL;20 G;BISNAGA
BR0366861-3;PERÓXIDO DE BENZOÍLA;5%;GEL;45 G;BISNAGA
BR0384537;PERÓXIDO DE BENZOÍLA;2,50%;GEL;60 G;BISNAGA
BR0271353-1;PILOCARPINA, CLORIDRATO;2%;SOLUÇÃO OFTÁLMICA;10 ML;FRASCO
BR0271353;PILOCARPINA, CLORIDRATO;2%;SOLUÇÃO OFTÁLMICA;5 ML;FRASCO
BR0267774;PIRIDOXINA, CLORIDRATO;40 MG;COMPRIMIDO;;COMPRIMIDO
BR0268158;PIRIMETAMINA;25 MG;COMPRIMIDO;;COMPRIMIDO
BR0396414-1;PLANTAGO OVATA (PSYLLIUM);null null;PÓ EFERVESCENTE;3,5 G;SACHE
BR0396414-2;PLANTAGO OVATA (PSYLLIUM);null null;PÓ EFERVESCENTE;5,00 G;SACHE
BR0396414-3;PLANTAGO OVATA (PSYLLIUM);null null;PÓ EFERVESCENTE;5,40 G;SACHE
BR0396414-4;PLANTAGO OVATA (PSYLLIUM);null null;PÓ EFERVESCENTE;5,85 G;SACHE
BR0396414-5;PLANTAGO OVATA (PSYLLIUM);null null;PÓ EFERVESCENTE;174 G;POTE
BR0415027;PODOFILINA;25%;SUSPENSÃO TÓPICA;20 ML;FRASCO
BR0273668;PRALIDOXIMA, MESILATO;200 MG;PÓ LIOFILIZADO;null null;FRASCO-AMPOLA
BR0268151-3;PREDNISOLONA;1 MG/ML;SOLUÇÃO ORAL ;120 ML;FRASCO
BR0268150-1;PREDNISOLONA;3 MG/ML;SOLUÇÃO ORAL ;60 ML;FRASCO
BR0268151-1;PREDNISOLONA;1 MG/ML;SOLUÇÃO ORAL ;60 ML;FRASCO
BR0268150-2;PREDNISOLONA;3 MG/ML;SOLUÇÃO ORAL ;100 ML;FRASCO
BR0268151-2;PREDNISOLONA;1 MG/ML;SOLUÇÃO ORAL ;100 ML;FRASCO
BR0268150-3;PREDNISOLONA;3 MG/ML;SOLUÇÃO ORAL ;120 ML;FRASCO
BR0267743;PREDNISONA ;20 MG;COMPRIMIDO;;COMPRIMIDO
BR0267741;PREDNISONA ;5 MG;COMPRIMIDO;;COMPRIMIDO
BR0269833;PRILOCAÍNA + FELIPRESSINA;3 % + 0,03 UI/ML;SOLUÇÃO INJETÁVEL ;1,8 ML;TUBETE
BR0267768;PROMETAZINA, CLORIDRATO;25 MG;COMPRIMIDO;;COMPRIMIDO
BR0267769;PROMETAZINA, CLORIDRATO;25 MG/ML;SOLUÇÃO INJETÁVEL ;2 ML;AMPOLA
BR0384894;PROPAFENONA, CLORIDRATO;150 MG;COMPRIMIDO;;COMPRIMIDO
BR0272412;PROPAFENONA, CLORIDRATO;300 MG;COMPRIMIDO;;COMPRIMIDO
BR0273589;PROPILTIOURACILA;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0267772;PROPRANOLOL, CLORIDRATO;40 MG;COMPRIMIDO;;COMPRIMIDO
BR0267771 ;PROPRANOLOL, CLORIDRATO;10 MG;COMPRIMIDO;;COMPRIMIDO
BR0272362;PROTAMINA, CLORIDRATO;10 MG/ML;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0267735;RANITIDINA, CLORIDRATO ;25 MG/ML;SOLUÇÃO INJETÁVEL ;2 ML;AMPOLA
BR0267736;RANITIDINA, CLORIDRATO ;150 MG;COMPRIMIDO;;COMPRIMIDO
BR0267734;RANITIDINA, CLORIDRATO ;15 MG/ML;XAROPE ;120 ML;FRASCO
BR0272565;RETINOL, PALMITATO;150.000 UI/ML;SOLUÇÃO ORAL ;20 ML;FRASCO
BR0399409;RHAMNUS PURSHIANA (CÁSCARA SAGRADA);150 MG;CÁPSULA ;;CAPSULA
BR0399636;RHAMNUS PURSHIANA (CÁSCARA SAGRADA);75 MG;CÁPSULA ;;CAPSULA
BR0399413;RHAMNUS PURSHIANA (CÁSCARA SAGRADA);500 MG;CÁPSULA ;;CAPSULA
BR0303292-2;RINGER LACTATO SÓDICO;null null;SOLUÇÃO INJETÁVEL ;500 ML SISTEMA FECHADO;FRASCO
BR0303292-1;RINGER LACTATO SÓDICO;null null;SOLUÇÃO INJETÁVEL ;250 ML SISTEMA FECHADO;FRASCO
BR0271877;RINGER LACTATO SÓDICO;null null;SOLUÇÃO INJETÁVEL ;500 ML;FRASCO
BR0293839;SAIS PARA REIDRATAÇÃO ORAL (NaCl 3,5G + Glicose 20G + Citrato Na 2,9G + KCl 1,5G)                                ;null null;PÓ PARA SOLUÇÃO ORAL;8,5 G;ENVELOPE
BR0268390;SAIS PARA REIDRATAÇÃO ORAL (NaCl 3,5G + Glicose 20G + Citrato Na 2,9G + KCl 1,5G)                                ;null null;PÓ PARA SOLUÇÃO ORAL;27,9 G;ENVELOPE
BR0268303-1;SALBUTAMOL, SULFATO;5 MG/ML;SOLUÇÃO PARA NEBULIZAÇÃO;10 ML;FRASCO
BR0294887;SALBUTAMOL, SULFATO;100 MCG/DOSE;AEROSSOL ORAL;200 DOSES;FRASCO
BR0268303;SALBUTAMOL, SULFATO;5 MG/ML;SOLUÇÃO PARA NEBULIZAÇÃO;5 ML;FRASCO
BR0268523;SALBUTAMOL, SULFATO;0,5 MG/ML;SOLUÇÃO INJETÁVEL ;1 ML;AMPOLA
BR0395716;SCHINUS TEREBENTHIFOLIUS (AROEIRA);0,67ML/G null;GEL VAGINAL ;60 G;BISNAGA
BR0395716-1;SCHINUS TEREBINTHIFOLIUS (AROEIRA);0,67 ML/G;GEL VAGINAL ;10 G;BISNAGA
BR0395716-2;SCHINUS TEREBINTHIFOLIUS (AROEIRA);0,67 ML/G;GEL VAGINAL ;30 G;BISNAGA
BR0341549;SERINGA 100 UI POLIPROPILENO + AGULHA 12,7 MM X 0,33 MM;null null;;;UM
BR0417059;SERINGA DESCARTÁVEL GRADUADA EM UNIDADES (ESCALA DE 1 EM 1 UNIDADES), AGULHA FIXA (INTEGRADA) DE 6,0MM DE COMPRIMENTO POR 0,25MM DE DIÂMETRO (31G), SEM ESPAÇO MORTO E COM CAPACIDADE PARA ATÉ 50 UNIDADES DE INSULINA;null null;;;UM
BR0285040;SERINGA PARA INSULINA, 1 ML, APIROGÊNICA E ATÓXICA, 100 UI COM BOA VISUALIZAÇÃO, DESCARTÁVEL, ESTÉRIL, AGULHA 13 X 3,8;null null;;;UM
BR0406825;SERINGA, POLIPROPILENO TRANSPARENTE, 1 ML (ESCALA EM UI), BICO CENTRAL SIMPLES OU LUER LOCK, ÊMBOLO C/ROLHA BORRACHA, IMPRESSÃO LEGÍVEL E PERMANENTE, GRADUAÇÃO MÁXIMA 0,2 EM 0,2 ML, NUMERADA, C/ AGULHA 13 X 0,38 MM, BISEL TRIFACETADO, PROTETOR PLÁSTI;null null;;;UM
BR0406819;SERINGA, POLIPROPILENO TRANSPARENTE, 1 ML (ESCALA EM UI), COM SISTEMA SEGURANÇA SEGUNDO NR/32, IMPRESSÃO LEGÍVEL E PERMANENTE, GRADUAÇÃO MÁXIMA 0,2 EM 0,2 ML, NUMERADA, C/ AGULHA 12,7 X 0,33 MM, BISEL TRIFACETADO, PROTETOR PLÁSTICO, DESCARTÁVEL;null null;;;UM
BR0406821;SERINGA, POLIPROPILENO TRANSPARENTE, 1 ML (ESCALA EM UI), ÊMBOLO C/ROLHA BORRACHA, GRADUAÇÃO MÁXIMA 0,2 EM 0,2 UI, NUMERADA, C/ AGULHA FIXA 8 X 0,3 MM, BISEL TRIFACETADO, PROTETOR PLÁSTICO, DESCARTÁVEL, ESTÉRIL;null null;;;UM
BR0267746 ;SINVASTATINA ;10 MG;COMPRIMIDO;;COMPRIMIDO
BR0267747;SINVASTATINA ;20 MG;COMPRIMIDO;;COMPRIMIDO
BR0267745;SINVASTATINA ;40 MG;COMPRIMIDO;;COMPRIMIDO
BR0267765;SULFADIAZINA;500 MG;COMPRIMIDO;;COMPRIMIDO
BR0272089;SULFADIAZINA DE PRATA;1%;CREME ;500 G;POTE
BR0272089-6;SULFADIAZINA DE PRATA;1%;CREME ;50 G;BISNAGA
BR0272089-1;SULFADIAZINA DE PRATA;1%;CREME ;30 G;BISNAGA
BR0308884-4;SULFAMETOXAZOL + TRIMETOPRIMA ;40 + 8 MG/ML;SUSPENSÃO ORAL ;120 ML;FRASCO
BR0308882;SULFAMETOXAZOL + TRIMETOPRIMA ;400 + 80  MG;COMPRIMIDO;;COMPRIMIDO
BR0308884-2;SULFAMETOXAZOL + TRIMETOPRIMA ;40 + 8 MG/ML;SUSPENSÃO ORAL ;60 ML;FRASCO
BR0308885;SULFAMETOXAZOL + TRIMETOPRIMA ;80 + 16 MG/ML;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0308884-1;SULFAMETOXAZOL + TRIMETOPRIMA ;40 + 8  MG/ML;SUSPENSÃO ORAL ;50 ML;FRASCO
BR0308884-3;SULFAMETOXAZOL + TRIMETOPRIMA ;40 + 8 MG/ML;SUSPENSÃO ORAL ;100 ML;FRASCO
BR0292345;SULFATO FERROSO (25MG/ML DE FERRO ELEMENTAR);125 MG/ML;SOLUÇÃO ORAL ;30 ML;FRASCO
BR0292344;SULFATO FERROSO (40MG DE FERRO ELEMENTAR);109 MG;COMPRIMIDO;;COMPRIMIDO
BR0332468-2;SULFATO FERROSO (5MG/ML DE FERRO ELEMENTAR);25 MG/ML;XAROPE ;100 ML;FRASCO
BR0332468-1;SULFATO FERROSO (5MG/ML DE FERRO ELEMENTAR);25 MG/ML;XAROPE ;60 ML;FRASCO
BR0273618;TECLOZANA;10 MG/ML;SUSPENSÃO ORAL ;90 ML;FRASCO
BR0273619;TECLOZANA;500 MG;COMPRIMIDO;;COMPRIMIDO
BR0272341;TIAMINA, CLORIDRATO;300 MG;COMPRIMIDO;;COMPRIMIDO
BR0272581;TIMOLOL, MALEATO;0,50%;SOLUÇÃO OFTÁLMICA;5 ML;FRASCO
BR0272582;TIMOLOL, MALEATO;0,25%;SOLUÇÃO OFTÁLMICA;5 ML;FRASCO
BR0339565;TIRA REAGENTE PARA MEDIR GLICEMIA CAPILAR;null null;;;UM
BR0399441;UNCARIA TOMENTOSA (UNHA DE GATO);50 MG/G;GEL;5 G;BISNAGA
BR0399442;UNCARIA TOMENTOSA (UNHA DE GATO);100 MG;CÁPSULA ;;CAPSULA
BR0279269;VARFARINA SÓDICA ;5 MG;COMPRIMIDO;;COMPRIMIDO
BR0279271;VARFARINA SÓDICA ;1 MG;COMPRIMIDO;;COMPRIMIDO
BR0267424;VERAPAMIL, CLORIDRATO;2,5 MG/ML;SOLUÇÃO INJETÁVEL ;2 ML;AMPOLA
BR0267425;VERAPAMIL, CLORIDRATO;80 MG;COMPRIMIDO;;COMPRIMIDO
BR0267573;VERAPAMIL, CLORIDRATO;120 MG;COMPRIMIDO;;COMPRIMIDO
